A pessoa tem nome AARON BALTHAZAR BELO. Teve cadastro na base unificada em 08/05/20 17:26:55,000000. Atualizado em 08/05/20 17:26:55,000000. Essa pessoa nasceu em 19/05/38 00:00:00,000000. Tem sexo I. Tem o endereço DIUMER SCHNEIDER, número 9038, bairro VICTORIA II. Estado RS. De CEP 99709012. Tem telefone 11 957857020. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema SAUDE. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 86265355031, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome GUILHERME HOFFMANN SARMENTO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 26/10/83 00:00:00,000000. Tem sexo M. Tem o endereço ERNESTO CAVALLINI, número 505, bairro JARDIM BRASIL (ZONA NORTE). Estado SP. De CEP 02223100. Tem telefone 12 955575789. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema EDUCACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11247122913, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome PEDRO KATO SOUZA. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 01/06/79 00:00:00,000000. Tem sexo M. Tem o endereço MARY NASSIF CURIACOS, número 616, bairro JARDIM IPANEMA. Estado SP. De CEP 13425396. Tem telefone 51 940634745. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CONSORCIO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11264944020, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome PEDRO KATO SOUZA. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 01/06/79 00:00:00,000000. Tem sexo M. Tem o endereço MARY NASSIF CURIACOS, número 616, bairro JARDIM IPANEMA. Estado SP. De CEP 13425396. Tem telefone 51 940634745. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema TELEFONIA. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11264944020, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome PEDRO KATO SOUZA. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 01/06/79 00:00:00,000000. Tem sexo M. Tem o endereço MARY NASSIF CURIACOS, número 616, bairro JARDIM IPANEMA. Estado SP. De CEP 13425396. Tem telefone 51 940634745. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema EDUCACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11264944020, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome IZABEL NERI VARGAS. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 02/06/79 00:00:00,000000. Tem sexo F. Tem o endereço QUADRA, número 5032, bairro SANTA RITA. Estado GO. De CEP 73752413. Tem telefone 84 959656107. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema TELEFONIA. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11278488790, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome IZABEL NERI VARGAS. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 02/06/79 00:00:00,000000. Tem sexo F. Tem o endereço QUADRA, número 5032, bairro SANTA RITA. Estado GO. De CEP 73752413. Tem telefone 84 959656107. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema EDUCACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11278488790, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome IZABEL NERI VARGAS. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 02/06/79 00:00:00,000000. Tem sexo F. Tem o endereço QUADRA, número 5032, bairro SANTA RITA. Estado GO. De CEP 73752413. Tem telefone 84 959656107. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CONSORCIO. O armazenamento é baseado na hipótese legal da LGPD EXECUCAO DE CONTRATO E PROCEDIMENTO PRELIMINAR.Essa pessoa tem documento 11278488790, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome IZABEL NERI VARGAS. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 02/06/79 00:00:00,000000. Tem sexo F. Tem o endereço QUADRA, número 5032, bairro SANTA RITA. Estado GO. De CEP 73752413. Tem telefone 84 959656107. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema SAUDE. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11278488790, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome IZABEL NERI VARGAS. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 02/06/79 00:00:00,000000. Tem sexo F. Tem o endereço QUADRA, número 5032, bairro SANTA RITA. Estado GO. De CEP 73752413. Tem telefone 84 959656107. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CAPITALIZACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11278488790, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome GIOVANE GARCEZ MARQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 24/05/53 00:00:00,000000. Tem sexo M. Tem o endereço PROFESSOR FERNANDO SO PAULO 1818, número , bairro CAMPO LIMPO. Estado BA. De CEP 44035030. Tem telefone 88 946426395. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema EDUCACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11285812484, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome GIOVANE GARCEZ MARQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 24/05/53 00:00:00,000000. Tem sexo M. Tem o endereço PROFESSOR FERNANDO SO PAULO 1818, número , bairro CAMPO LIMPO. Estado BA. De CEP 44035030. Tem telefone 88 946426395. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema SAUDE. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11285812484, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome GIOVANE GARCEZ MARQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 24/05/53 00:00:00,000000. Tem sexo M. Tem o endereço PROFESSOR FERNANDO SO PAULO 1818, número , bairro CAMPO LIMPO. Estado BA. De CEP 44035030. Tem telefone 88 946426395. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CONSORCIO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11285812484, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome GIOVANE GARCEZ MARQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 24/05/53 00:00:00,000000. Tem sexo M. Tem o endereço PROFESSOR FERNANDO SO PAULO 1818, número , bairro CAMPO LIMPO. Estado BA. De CEP 44035030. Tem telefone 88 946426395. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema TELEFONIA. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11285812484, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome HENRIQUE VASCONCELLOS CASTILHO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 06/10/71 00:00:00,000000. Tem sexo M. Tem o endereço BAIA FORMOSA, número 5187, bairro ARENOSO. Estado BA. De CEP 41211355. Tem telefone 21 965126984. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema TELEFONIA. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11295887185, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome HENRIQUE VASCONCELLOS CASTILHO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 06/10/71 00:00:00,000000. Tem sexo M. Tem o endereço BAIA FORMOSA, número 5187, bairro ARENOSO. Estado BA. De CEP 41211355. Tem telefone 21 965126984. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema EDUCACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11295887185, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome HENRIQUE VASCONCELLOS CASTILHO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 06/10/71 00:00:00,000000. Tem sexo M. Tem o endereço BAIA FORMOSA, número 5187, bairro ARENOSO. Estado BA. De CEP 41211355. Tem telefone 21 965126984. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CONSORCIO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 11295887185, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome SARA RUBENS HENRIQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 20/01/94 00:00:00,000000. Tem sexo F. Tem o endereço JOSE BARROSO, número 7424, bairro SANTA RITA. Estado MG. De CEP 35040152. Tem telefone 12 972239504. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CONSORCIO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12386358305, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome SARA RUBENS HENRIQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 20/01/94 00:00:00,000000. Tem sexo F. Tem o endereço JOSE BARROSO, número 7424, bairro SANTA RITA. Estado MG. De CEP 35040152. Tem telefone 12 972239504. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema SAUDE. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12386358305, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome SARA RUBENS HENRIQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 20/01/94 00:00:00,000000. Tem sexo F. Tem o endereço JOSE BARROSO, número 7424, bairro SANTA RITA. Estado MG. De CEP 35040152. Tem telefone 12 972239504. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema EDUCACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12386358305, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome SARA RUBENS HENRIQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 20/01/94 00:00:00,000000. Tem sexo F. Tem o endereço JOSE BARROSO, número 7424, bairro SANTA RITA. Estado MG. De CEP 35040152. Tem telefone 12 972239504. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CAPITALIZACAO. O armazenamento é baseado na hipótese legal da LGPD EXECUCAO DE CONTRATO E PROCEDIMENTO PRELIMINAR.Essa pessoa tem documento 12386358305, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome SARA RUBENS HENRIQUES. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 20/01/94 00:00:00,000000. Tem sexo F. Tem o endereço JOSE BARROSO, número 7424, bairro SANTA RITA. Estado MG. De CEP 35040152. Tem telefone 12 972239504. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema TELEFONIA. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12386358305, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome WILMA SALAZAR AMORIM. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 10/09/23 00:00:00,000000. Tem sexo F. Tem o endereço DOUTOR RUI GOUTHIER DE VILLENA, número 7658, bairro PARQUE DAS GAMELEIRAS. Estado MG. De CEP 38036220. Tem telefone 19 931325703. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CONSORCIO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12398278573, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome WILMA SALAZAR AMORIM. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 10/09/23 00:00:00,000000. Tem sexo F. Tem o endereço DOUTOR RUI GOUTHIER DE VILLENA, número 7658, bairro PARQUE DAS GAMELEIRAS. Estado MG. De CEP 38036220. Tem telefone 19 931325703. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema TELEFONIA. O armazenamento é baseado na hipótese legal da LGPD .Essa pessoa tem documento 12398278573, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome LETICIA WOLFF MORENO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 31/08/73 00:00:00,000000. Tem sexo F. Tem o endereço G, número 7377, bairro PARQUE RESIDENCIAL LALUCE II. Estado SP. De CEP 16204407. Tem telefone 34 926299103. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CAPITALIZACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12421403014, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome LETICIA WOLFF MORENO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 31/08/73 00:00:00,000000. Tem sexo F. Tem o endereço G, número 7377, bairro PARQUE RESIDENCIAL LALUCE II. Estado SP. De CEP 16204407. Tem telefone 34 926299103. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema EDUCACAO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12421403014, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome LETICIA WOLFF MORENO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 31/08/73 00:00:00,000000. Tem sexo F. Tem o endereço G, número 7377, bairro PARQUE RESIDENCIAL LALUCE II. Estado SP. De CEP 16204407. Tem telefone 34 926299103. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema SAUDE. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12421403014, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome LETICIA WOLFF MORENO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 31/08/73 00:00:00,000000. Tem sexo F. Tem o endereço G, número 7377, bairro PARQUE RESIDENCIAL LALUCE II. Estado SP. De CEP 16204407. Tem telefone 34 926299103. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema TELEFONIA. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12421403014, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome LETICIA WOLFF MORENO. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 31/08/73 00:00:00,000000. Tem sexo F. Tem o endereço G, número 7377, bairro PARQUE RESIDENCIAL LALUCE II. Estado SP. De CEP 16204407. Tem telefone 34 926299103. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema CONSORCIO. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12421403014, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
A pessoa tem nome ROSIVAL CASTRO QUEIROZ. Teve cadastro na base unificada em 08/05/20 17:26:54,000000. Atualizado em 08/05/20 17:26:54,000000. Essa pessoa nasceu em 01/02/48 00:00:00,000000. Tem sexo I. Tem o endereço ALAN TURING, número 3693, bairro CIDADE UNIVERSITARIA. Estado SP. De CEP 13083898. Tem telefone 16 943145375. Tem cadastro que iniciou a relação com a base unificada em 08/05/20 17:26:55,000000 e terminou em , de origem do sistema SAUDE. O armazenamento é baseado na hipótese legal da LGPD SEM ENQUADRAMENTO.Essa pessoa tem documento 12428729900, que é do tipo CPF - CADASTRO DE PESSOA FISICA.
